"Bioproject.Accession";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Strain";"Phenotype";"Relevance";"Diseases";"Host.Name";"Ecosystem.Category";"Habitat";"Study.Name";"HumanHost";"Pathogenic"
"PRJNA16170";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa C3719";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Cystic Fibrosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Dynamics of Pseudomonas aeruginosa genome evolution";TRUE;TRUE
"PRJNA63823";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira licerasiae";"Leptospira licerasiae sv. Varillal MMD0835";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Mammals";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA18233";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Spirochaetaceae";"Borrelia";"Borrelia recurrentis";"Borrelia recurrentis A1";"Pathogen";"Human Pathogen, Medical";"Louse-borne relapsing fever";"Homo sapiens";"Human";"Host";"Borrelia recurrentis A1";TRUE;TRUE
"PRJNA28043";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 70585";"Pathogen";"Comparative analysis, Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"";"Host, Human nasopharyngeal microflora";"Streptococcus pneumoniae 70585";TRUE;TRUE
"PRJNA52017";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Campylobacteraceae";"Campylobacter";"Campylobacter jejuni";"Campylobacter jejuni jejuni H22082";"Food poisoning, Pathogen";"Medical";"Food poisoning, Gastroenteritis";"Homo sapiens";"Human";"Host, Wastewater";"Campylobacter jejuni jejuni H22082";TRUE;TRUE
"PRJNA64143";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori Hp H-1";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"Human";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA49819";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans W6";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA63671";"Proteobacteria";"Gammaproteobacteria";"Aeromonadales";"Aeromonadaceae";"Aeromonas";"Aeromonas veronii";"Aeromonas veronii B565";"";"Animal Pathogen, Fish Pathogen, Human Pathogen, Medical";"";"Homo sapiens";"Aquatic";"Aquatic, Ponds, Sediment";"Aeromonas veronii B565";TRUE;TRUE
"PRJNA71961";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans TCI-75";"";"";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA165425";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Porphyromonas";"Porphyromonas somerae";"Porphyromonas somerae DSM 23386";"Catalase negative, Pathogen";"GEBA-KMG, Tree of Life";"";"Homo sapiens";"Human";"Host, Human";"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG) project";TRUE;TRUE
"PRJNA53399";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter radioresistens";"Acinetobacter radioresistens WC-A-157";"Pathogen";"Medical, Nosocomial Pathogen";"Nosocomial infection, Pneumonia";"Homo sapiens";"Human";"Fresh water, Host, Human skin, Skin";"Genome sequencing of  Acinetobacter baumannii Isolates - Walter Reed Army Institute of Research";TRUE;TRUE
"PRJNA53941";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Aggregatibacter";"Aggregatibacter actinomycetemcomitans";"Aggregatibacter actinomycetemcomitans sv. c SCC2302";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Periodontal infection, Periodontitis";"Homo sapiens";"Animal";"Host, Oral cavity";"Aggregatibacter genome sequencing, USC School of Dentistry, USA";TRUE;TRUE
"PRJNA48741";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA17719";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Animal";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA63891";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Vibrio cholerae";"Vibrio cholerae HC-61A1";"";"Human Pathogen, Medical";"Cholera, Food poisoning";"Homo sapiens";"Animal";"Fresh water, Host";"Vibrio cholerae Genome sequencing project";TRUE;TRUE
"PRJNA62415";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter pittii";"Acinetobacter genomospecies 3, DSM 21653";"";"Human Pathogen";"";"Homo sapiens";"Animal";"Host";"Acinetobacter sp. genomospecies 3, DSM 21653";TRUE;TRUE
"PRJNA51983";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Montevideo IA_2010008284";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Montevideo IA_2010008284";TRUE;TRUE
"PRJNA227489";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas";"Pseudomonas aeruginosa";"Pseudomonas aeruginosa VRFPA06";"";"Medical";"Septicemia";"Homo sapiens";"Human";"";"MDR strains of Pseudomonas aeruginosa from Human samples SANKARA NETHRALAYA";TRUE;TRUE
"PRJNA33027";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";"Brucella abortus";"Brucella abortus bv. 4 292";"Intracellular pathogen, Pathogen";"Biothreat, Human Pathogen, Mammal Pathogen, Medical";"Spontaneous abortion";"Homo sapiens";"Mammals";"Host";"Brucella Genome Sequencing";TRUE;TRUE
"PRJNA61061";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";"Neisseria meningitidis";"Neisseria meningitidis M6190";"Pathogen";"Comparative analysis, Human Pathogen, Medical";"Meningitis, Septicemia";"Homo sapiens";"";"Host";"Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS";TRUE;TRUE
"PRJNA40717";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Propionibacteriaceae";"Propionibacterium";"Propionibacterium acnes";"Propionibacterium acnes HL099PA1";"";"Human Microbiome Project (HMP), Medical";"Acne";"Homo sapiens";"Human";"Host, Human skin";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA51019";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC11E";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA81141";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Klebsiella";"Klebsiella oxytoca";"Klebsiella oxytoca 11492-1";"";"Medical";"Nosocomial infection";"Homo sapiens";"Human";"Colon, Insect endosymbiont, Mammalian gastrointestinal tract, Skin";"Klebsiella oxytoca 11492-1";TRUE;TRUE
"PRJNA48703";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA13637";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA15757";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus JH9";"Pathogen";"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen";"Staphylococcal scarlet fever, Toxic-shock syndrome";"Homo sapiens";"Human";"Host";"Single Microbes 2005 CSP";TRUE;TRUE
"PRJNA13945";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia";"Burkholderia mallei";"Burkholderia mallei GB8 horse 4 (re-annotation)";"Pathogen";"Animal Pathogen, Biothreat, Human Pathogen, Medical";"Glanders, Pneumonia";"Homo sapiens";"";"Host";"Burkholderia Pathogen - TIGR";TRUE;TRUE
"PRJNA53609";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus 21195";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA18197";"Actinobacteria";"Actinobacteria";"Bifidobacteriales";"Bifidobacteriaceae";"Bifidobacterium";"Bifidobacterium adolescentis";"Bifidobacterium adolescentis L2-32";"Non-Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"";"Homo sapiens";"Human";"Feces, Gastrointestinal tract, Host, Human fecal, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;FALSE
"PRJNA59919";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae 2081685";"Pathogen";"Human Pathogen, Medical";"Meningitis, Otitis media, Pneumonia";"Homo sapiens";"Human";"Host";"Pneumococcal meningitis isolates used for genomic comparisons";TRUE;TRUE
"PRJNA50969";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC7B";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"Human";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA86227";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae CCUG 37737";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"Human";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA49859";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans SA41";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans";TRUE;TRUE
"PRJNA81";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium";"Clostridium tetani";"Clostridium tetani Massachusetts E88 (re-annotation)";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Tetanus";"Homo sapiens";"";"Host";"Clostridium tetani Massachusetts E88";TRUE;TRUE
"PRJNA49839";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus mutans";"Streptococcus mutans 21";"Pathogen";"Human Pathogen, Medical";"Dental caries, Endocarditis";"Homo sapiens";"Human";"Host";"Streptococcus mutans 21";TRUE;TRUE
"PRJNA53839";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus CO-98";"Pathogen";"Human Pathogen, Medical";"Pneumonia, Septicemia";"Homo sapiens";"";"Host";"Diverse Staphylococcus isolates that aid in determining the genetic basis for drug resistance";TRUE;TRUE
"PRJNA46535";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Montevideo 315996572";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Montevideo 315996572";TRUE;TRUE
"PRJNA175543";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori 26695";"Pathogen";"Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"";"Host, Human, Human stomach";"Helicobacter pylori 26695";TRUE;TRUE
"PRJNA64073";"Proteobacteria";"Epsilonproteobacteria";"Campylobacterales";"Helicobacteraceae";"Helicobacter";"Helicobacter pylori";"Helicobacter pylori NQ4216";"";"Human Pathogen, Medical";"Gastric inflammation, Ulcer";"Homo sapiens";"";"Host, Human stomach";"Helicobacter pylori sequencing project - Institute for Genome Sciences";TRUE;TRUE
"PRJNA32933";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus";"Enterococcus faecalis";"Enterococcus faecalis Merz96";"";"Medical";"Bacteremia, Endocarditis, Urinary infection";"Homo sapiens";"";"Host";"Genome Sequencing of Enterococcus, Broad Institute";TRUE;TRUE
"PRJNA29669";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus";"Bacillus cereus";"Bacillus cereus 95/8201";"Pathogen";"Human Pathogen, Medical";"Food poisoning";"Homo sapiens";"Animal";"Host, Soil";"Bacillus cereus sequencing, Naval Medical Research center";TRUE;TRUE
"PRJNA68097";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter";"Acinetobacter lwoffii";"Acinetobacter lwoffii WJ10621";"MDR (Multi-drug resistant)";"Human Pathogen";"Nosocomial infection";"Homo sapiens";"Human";"Host";"Acinetobacter lwoffii WJ10621";TRUE;TRUE
"PRJNA48907";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA52612";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Animal";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA39063";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli TA007";"Pathogen";"Animal Pathogen, Medical, Swine Pathogen";"Diarrhea";"";"";"Host, Human intestinal microflora";"Escherichia coli genome sequencing - Broad Institute";TRUE;TRUE
"PRJNA48861";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA47373";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA86477";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00111";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA63745";"Spirochaetes";"Spirochaetia";"Spirochaetales";"Leptospiraceae";"Leptospira";"Leptospira interrogans";"Leptospira interrogans sv. Copenhageni Fiocruz LV2763";"";"Animal Pathogen, Medical";"Leptospirosis";"Homo sapiens";"Human";"Fresh water, Host, Soil";"Leptospira Genomics And Human Health - JCVI";TRUE;TRUE
"PRJNA19463";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Saint Paul SARA29";"Nontyphoidal";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Saint Paul SARA29";TRUE;TRUE
"PRJNA46545";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Montevideo 515920-1";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Montevideo 515920-1";TRUE;TRUE
"PRJNA223";"Actinobacteria";"Actinobacteria";"Actinomycetales";"Mycobacteriaceae";"Mycobacterium";"Mycobacterium tuberculosis";"Mycobacterium tuberculosis CDC1551";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Tuberculosis";"Homo sapiens";"Industrial production";"Host";"Mycobacterium tuberculosis sequencing- JCVI";TRUE;TRUE
"PRJNA48445";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus aureus";"Staphylococcus aureus aureus ATCC 51811";"";"Human Microbiome Project (HMP), Human Pathogen, Medical";"";"Homo sapiens";"Human";"Host, Human airways";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA48903";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pneumoniae";"Streptococcus pneumoniae GA52306";"Pathogen";"Human Pathogen, Medical";"Pneumonia";"Homo sapiens";"Human";"Host";"Streptococcus pneumoniae at IGS";TRUE;TRUE
"PRJNA51005";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli DEC10D";"Non-Pathogen";"Dairy industry";"";"Homo sapiens";"";"Host, Human intestinal microflora";"Escherichia coli (diarrheagenic strains)";TRUE;FALSE
"PRJNA71907";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus sobrinus";"Streptococcus sobrinus TCI-124";"Catalase negative, Pathogen";"Dental Pathogen";"Dental caries, Dental plaque";"Homo sapiens";"Animal";"Oral cavity";"Sequencing clinical isolates from dental plaque";TRUE;TRUE
"PRJNA18173";"Firmicutes";"Clostridia";"Clostridiales";"unclassified";"Pseudoflavonifractor";"Pseudoflavonifractor capillosus";"Pseudoflavonifractor capillosus ATCC 29799";"Opportunistic Pathogen";"Human Gut Microbiome Initiative (HGMI), Human Microbiome Project (HMP), Medical";"Various infections";"Homo sapiens";"Human";"Host, Human fecal, Human intestinal microflora";"Human Microbiome Project (HMP) Reference Genomes";TRUE;TRUE
"PRJNA13286";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus pyogenes";"Streptococcus pyogenes M49 591 (re-annotation)";"Pathogen";"Human Pathogen, Medical";"Rheumatic fever";"Homo sapiens";"Human";"Host";"Streptococcus pyogenes M49 591";TRUE;TRUE
"PRJNA17687";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Yersinia";"Yersinia pestis";"Yersinia pestis bv. Mediaevalis K1973002";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Bubonic plague";"Homo sapiens";"Mammals";"Host";"genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China";TRUE;TRUE
"PRJNA86465";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";"Streptococcus agalactiae";"Streptococcus agalactiae GB00020";"Beta-hemolytic, Catalase negative, Opportunistic Pathogen";"Comparative analysis, Medical";"Opportunistic infection";"Homo sapiens";"";"Host";"Evolutionary Genomics and Population Genetics of Pathogenic Streptococci";TRUE;TRUE
"PRJNA48603";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";"Staphylococcus epidermidis";"Staphylococcus epidermidis FRI909";"";"";"Pneumonia, Septicemia";"Homo sapiens";"";"Host, Human airways";"Staphylococcus epidermidis FRI909";TRUE;TRUE
"PRJNA41263";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Salmonella";"Salmonella enterica";"Salmonella enterica enterica sv. Gallinarum 9184";"";"Human Pathogen, Medical";"Food poisoning, Gastroenteritis, Salmonellosis";"Homo sapiens";"";"Food, Fresh water, Host, Soil";"Salmonella enterica enterica sv Gallinarum 9184";TRUE;TRUE
"PRJNA70805";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia";"Escherichia coli";"Escherichia coli O104:H4 H112180283";"";"";"Food poisoning";"Homo sapiens";"Human";"Intestinal tract";"Escherichia coli O104:H4 str. H112180283";TRUE;TRUE
"PRJNA45851";"Chlamydiae";"Chlamydiia";"Chlamydiales";"Chlamydiaceae";"Chlamydia";"Chlamydia trachomatis";"Chlamydia trachomatis G/9301";"Pathogen";"Animal Pathogen, Human Pathogen, Medical";"Blindness, Bronchitis, Infertility, Pharyngitis, Pneumonia, Sexually transmitted disease";"Homo sapiens";"Unclassified";"Host";"Analysis of Chlamydia trachomatis strains,Oregon State Univ";TRUE;TRUE
"PRJNA176";"Tenericutes";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Mycoplasma";"Mycoplasma penetrans";"Mycoplasma penetrans HF-2";"Pathogen";"Human Pathogen, Medical";"Respiratory infection, Urogenital infection";"Homo sapiens";"";"Host";"Mycoplasma parvum str. Indiana Genome sequencing";TRUE;TRUE
